"country","iso2c","iso3c","year","arrivals","gdp_pc","gdp_growth","reer","population"
"Canada","CA","CAN",1999,49055000,36391.5718964607,5.14100348449622,75.1692605460693,30401286
"Canada","CA","CAN",2000,48638000,37906.89821012,5.13853918994158,75.5375671441967,30685730
"Canada","CA","CAN",2001,47147000,38200.4945025395,1.87509813099847,73.3186610659997,31020855
"Canada","CA","CAN",2002,44896000,38921.7064054514,2.99925533832644,72.6783556407601,31359199
"Canada","CA","CAN",2003,38903000,39270.0629084669,1.8063851195103,80.8569761813142,31642461
"Canada","CA","CAN",2004,38845000,40108.7990262916,3.09236381038156,85.3157705145083,31938807
"Canada","CA","CAN",2005,36160000,41006.264144024,3.21045441502793,90.4199008903329,32242732
"Canada","CA","CAN",2006,33390000,41663.5541588166,2.63794375302722,95.4030342575784,32571193
"Canada","CA","CAN",2007,30373000,42106.9147186165,2.04990459443619,98.5148994437694,32888886
"Canada","CA","CAN",2008,27370000,42067.610977795,0.995406371264522,95.9081050493268,33247298
"Canada","CA","CAN",2009,24696000,40376.4559330928,-2.91508627059555,91.4748093439814,33630069
"Canada","CA","CAN",2010,25621000,41164.3812486578,3.09080633744851,100,34005902
"Canada","CA","CAN",2011,25066000,42043.6842044008,3.1371944343876,101.641884975139,34339221
"Canada","CA","CAN",2012,25318000,42320.6856530018,1.75566133205234,101.162300785218,34713395
"Canada","CA","CAN",2013,25167000,42851.2135876232,2.32581356612762,97.5416806900049,35080992
"Canada","CA","CAN",2014,25558000,43643.2794910996,2.87346675579731,91.5171680081929,35434066
"Canada","CA","CAN",2015,27555000,43594.2379080706,0.64997101491096,83.1854465963242,35704498
"Canada","CA","CAN",2016,30142000,43551.3863558236,1.03855091989323,81.6296738840544,36110803
"Canada","CA","CAN",2017,31081000,44339.4332217878,3.03383491841392,82.861841086802,36545075
"Canada","CA","CAN",2018,31274000,44907.3887994469,2.74296341402246,82.3403764892998,37072620
"Canada","CA","CAN",2019,32430000,45100.336805859,1.90843193887251,81.5961581645571,37618495
"Canada","CA","CAN",2020,NA,42366.1710935265,-5.03823342794087,80.7213249987492,38028638
"China","CN","CHN",1995,46387000,1545.07897848105,11.0154136659719,78.2290580274682,1204855000
"China","CN","CHN",1996,51128000,1681.45741269443,9.97328781228394,86.032319706827,1217550000
"China","CN","CHN",1997,57588000,1819.07954081306,9.29759460595947,92.6406700425545,1230075000
"China","CN","CHN",1998,63478000,1944.46718626424,7.92354535108497,97.4851225700367,1241935000
"China","CN","CHN",1999,72796000,2076.93180259914,7.74123827728161,92.1826549329255,1252735000
"China","CN","CHN",2000,83444000,2237.30047918692,8.57357328926101,92.1675736605722,1262645000
